Свободни места за четвърти етап на класиране към 15:30 ч. на 03.08.2022 г.,,,,,,
№,Име,Код на паралелката,Име на паралелката,На общо основание,Младежи ,Девойки
184,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",2658,"Чужди езици - НЕ интензивно, АЕ",0,0,0
185,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1771,Софтуерни и хардуерни науки - АЕ интензивно,1,-,-
186,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1777,Природни науки - АЕ интензивно,6,-,-
187,"78. Средно училище ""Христо Смирненски""",0463,Извършване на термални процедури - АЕ,6,-,-
188,"78. Средно училище ""Христо Смирненски""",0468,Софтуерни и хардуерни науки - АЕ интензивно,1,-,-
189,"79 средно училище ""Индира Ганди""",2427,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",0,-,-
190,"79 средно училище ""Индира Ганди""",3988,"Софтуерни и хардуерни науки - АЕ разширено, ИЕ",0,-,-
191,"81. Средно училище ""Виктор Юго""",2566,Чужди езици - АЕ интензивно,2,-,-
192,"81. Средно училище ""Виктор Юго""",2579,Хуманитарни науки,0,-,-
193,"85 Средно училище ""Отец Паисий""",1929,"Търговия на едро и дребно - АЕ, РЕ",0,-,-
194,"88. Средно училище ""Димитър Попниколов""",1353,Чужди езици - АЕ интензивно,0,-,-
195,"88. Средно училище ""Димитър Попниколов""",1356,Туристическа анимация - АЕ интензивно,2,-,-
196,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2158,"Чужди езици - ФЕ интензивно, АЕ",0,0,3
197,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2163,"Чужди езици - ФЕ интензивно, ИЕ",0,1,0
198,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2168,"Чужди езици - ФЕ интензивно, НЕ",0,0,0
199,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1384,"Предприемачески - ИЕ, АЕ",0,-,-
200,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1390,"Природни науки - АЕ, ИЕ",1,-,-
201,"91.НЕМСКА ЕЗИКОВА ГИМНАЗИЯ Професор Константин Гълъбов""",2644,Чужди езици - НЕ интензивно /АЕ,0,2,0
