№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
19.  ,"2211035  35. СЕУ ""Добри Войников""",0392  Чужди езици - ФЕ интензивно РЕ М,440.5,440.5,девойки
20.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2018  Чужди езици - АЕ интензивно НЕ М ФА,440,442,младежи
21.  ,2216301  Първа АЕГ,0727  Чужди езици - АЕ интензивно НЕ,440,440,младежи
22.  ,2216301  Първа АЕГ,0752  Чужди езици - АЕ интензивно ФЕ,439.5,442.5,девойки
23.  ,2222009  9 ФЕГ,2158  Чужди езици - ФЕ интензивно   АЕ,439.5,441,девойки
24.  ,"2222133  133 СУ ""А.С.Пушкин""",2269  Математически - АЕ интензивно  РЕ,439,439,девойки
25.  ,"2224022  22 СЕУ ""Г. С. Раковски""",2565  Чужди езици - АЕ интензивно ИЕ,438.5,438.5,без квоти
26.  ,"2221031  31 СУЧЕМ ""Иван Вазов""",2755  Чужди езици - АЕ интензивно   ИЕ,437,437,без квоти
27.  ,"2205407  СПГЕ  ""Джон Атанасов""",2328  Системно програмиране - АЕ  НЕ,432.5,432.5,без квоти
28.  ,2216164  164 ГПИЕ,2561  Чужди езици - ИЕ интензивно АЕ,431.5,441,младежи
29.  ,"2222133  133 СУ ""А.С.Пушкин""",2270  Чужди езици - ФЕ интензивно  РЕ,431.5,436,девойки
30.  ,"2211035  35. СЕУ ""Добри Войников""",0389  Чужди езици - НЕ интензивно РЕ М,427.5,431.5,девойки
31.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2773  Чужди езици - АЕ интензивно  ИЕ,426.5,426.5,девойки
32.  ,"2211035  35. СЕУ ""Добри Войников""",0388  Чужди езици - НЕ интензивно РЕ БЕЛ,423.5,423.5,без квоти
33.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2020  Чужди езици - АЕ интензивно НЕ  БЕЛ,423.5,423.5,младежи
34.  ,2216164  164 ГПИЕ,2562  Чужди езици - ИЕ интензивно ФЕ,423.5,423.5,младежи
